plate_number,name,name_haeckel,description,family,genus
1,,Phaeodaria,,,
2,,Thalamphora,,,
3,,Ciliata,,,
4,,Diatomea,,,
5,,Calcispongiae,,,
6,,Tubulariae,,,
7,,Siphonophorae,,,
8,,Discomedusae,,,
9,,Hexacoralla,,,
10,,Ophiodea,,,
11,,Discoidea,,,
12,,Thalamophora,,,
13,,Flagellata,,,
14,,Peridinea,,,
15,,Fucoideae,,,
16,,Narcomedusae,,,
17,,Siphonophorae,,,
18,,Discomedusae,,,
19,,Pennatulida,,,
20,,Crinoidea,,,
21,,Acanthometra,,,
22,,Spyroidea,,,
23,,Bryozoa,,,
24,,Desmidiea,,,
25,,Sertulariae,,,
26,,Trachomedusae,,,
27,,Ctenophorae,,,
28,,Discomedusae,,,
29,,Tetracoralla,,,
30,,Echinidea,,,
31,,Cyrtoidea,,,
32,,Rotatoria,,,
33,,Bryozoa,,,
34,,Melethallia,,,
35,,Hexactinellae,,,
36,,Leptomedusae,,,
37,,Siphonophorae,,,
38,,Peromedusae,,,
39,,Gorgonida,,,
40,,Asteridea,,,
41,,Acanthophracta,,,
42,,Ostraciontes,,,
43,,Nudibranchia,,,
44,,Ammonitida,,,
45,,Campanariae,,,
46,,Anthomedusae,,,
47,,Aspidonia,,,
48,,Stauromedusae,,,
49,,Actiniae,,,
50,,Thuroidea,,,
51,,Polycyttaria,,,
52,,Filicinae,,,
53,,Prosobranchia,,,
54,,Gamochonia,,,
55,,Acephala,,,
56,,Copepoda,,,
57,,Cirripedia,,,
58,,Tineida,,,
59,,Siphonophorae,,,
60,,Echinidea,,,
61,,Phaeodaria,,,
62,,Nepenthaceae,,,
63,,Basimycetes,,,
64,,Siphoneae,,,
65,,Florideae,,,
66,,Arachnida,,,
67,,Chiroptera,,,
68,,Batrachia,,,
69,,Hexacoralla,,,
70,,Ophiodea,,,
71,,Stephoidea,,,
72,,Muscinae,,,
73,,Ascomycetes,,,
74,,Orchidae,,,
75,,Platodes,,,
76,,Thoracostraca,,,
77,,Siphonophorae,,,
78,,Cubomedusae,,,
79,,Lacertilia,,,
80,,Blastoidea,,,
81,,Thalamophora,,,
82,,Hepaticae,,,
83,,Lichenes,,,
84,,Diatomea,,,
85,,Ascidiae,,,
86,,Decapoda,,,
87,,Teleostei,,,
88,,Discomedusae,,,
89,,Chelonia,,,
90,,Cystoidea,,,
91,,Spumellaria,,,
92,,Filicinae,,,
93,,Mycetozoa,,,
94,,Coniferae,,,
95,,Amphoridea,,,
96,,Chaetopoda,,,
97,,Spirobranchia,,,
98,,Discomedusae,,,
99,,Trochilidae ,,,
100,,Antilopina,,,